,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Plain Regular Fit Polo,"3,749",2019-09-20,14:00:13.434961
1,TOMMY HILFIGER Men's Casual Shirt,"2,249",2019-09-20,14:00:13.434961
2,Tommy Hilfiger 29 Ltrs Grey Laptop Backpack (TH/ANDROIDLAP07),"2,275",2019-09-20,14:00:13.434961
3,U.S. Polo Assn. Men's Polo,734,2019-09-20,14:00:13.434961
4,Katso Men's Cotton T-Shirt (Pack Of 1) (Katso-Hood-Full),290,2019-09-20,14:00:13.434961
5,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,14:00:13.434961
6,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-20,14:00:13.434961
7,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-20,14:00:13.434961
8,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:13.434961
9,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,14:00:13.434961
10,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-20,14:00:13.434961
11,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:13.434961
12,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,14:00:13.434961
13,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,14:00:13.434961
14,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:13.434961
15,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:13.434961
16,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,954",2019-09-20,14:00:13.434961
17,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:13.434961
18,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-20,14:00:13.434961
19,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:13.435957
20,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-20,14:00:13.435957
21,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-20,14:00:13.435957
22,The Blazze 0017 Men's Round Neck Half Sleeve Cotton T-Shirt for Men,399,2019-09-20,14:00:13.435957
23,Arrow Sports Men's Polo,"1,253",2019-09-20,14:00:13.435957
24,Zeroline Garments Casual Half Sleeves Polo Cotton T Shirt for Men,599,2019-09-20,14:00:13.435957
25,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-20,14:00:13.435957
26,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:13.435957
27,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:13.435957
28,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-20,14:00:13.435957
29,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,14:00:13.435957
30,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-20,14:00:13.435957
31,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,14:00:13.435957
32,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-20,14:00:13.435957
33,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-20,14:00:13.435957
34,TOMMY HILFIGER Men's Plain Regular Fit Polo,"1,499",2019-09-20,14:00:13.435957
35,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,14:00:13.435957
36,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,999",2019-09-20,14:00:13.435957
37,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,558",2019-09-20,14:00:13.435957
38,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,953",2019-09-20,14:00:13.435957
39,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,14:00:13.435957
40,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:13.435957
41,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,14:00:13.435957
42,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,14:00:13.435957
43,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,14:00:13.435957
44,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-20,14:00:13.435957
45,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,14:00:13.435957
46,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:13.435957
47,TOMMY HILFIGER Men's Plain Regular fit T-Shirt,"2,529",2019-09-20,14:00:13.435957
48,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-20,14:00:13.435957
49,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,14:00:13.435957
50,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,170",2019-09-20,14:00:13.435957
51,TOMMY HILFIGER Men's Plain Slim fit Polo,"2,849",2019-09-20,14:00:13.435957
52,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,14:00:13.435957
53,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,14:00:13.435957
54,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,895,2019-09-20,14:00:13.435957
55,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,14:00:13.435957
56,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,655",2019-09-20,14:00:13.435957
57,Arrow Sports Men's Solid Regular Fit T-Shirt,"1,017",2019-09-20,14:00:13.435957
58,Flying Machine Men's Printed Regular fit T-Shirt,779,2019-09-20,14:00:13.435957
59,Broyz Rajput Men Round Neck White T-Shirt,199,2019-09-20,14:00:13.435957
0,Mufti Men's Loose fit Polo,750,2019-09-20,14:00:18.191239
1,Zeroline Garments Casual Half Sleeves Polo Cotton T Shirt for Men,599,2019-09-20,14:00:18.191239
2,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,14:00:18.191239
3,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
4,TOMMY HILFIGER Men's Plain Regular Fit Polo,"3,749",2019-09-20,14:00:18.191239
5,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,14:00:18.191239
6,Tommy Hilfiger Men's Printed Slim Fit Polo,"1,979",2019-09-20,14:00:18.191239
7,TOMMY HILFIGER Men's Polo,"1,299",2019-09-20,14:00:18.191239
8,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-20,14:00:18.191239
9,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,14:00:18.191239
10,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,249",2019-09-20,14:00:18.191239
11,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,999,2019-09-20,14:00:18.191239
12,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,199",2019-09-20,14:00:18.191239
13,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,923,2019-09-20,14:00:18.191239
14,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:18.191239
15,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-20,14:00:18.191239
16,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:18.191239
17,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,14:00:18.191239
18,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,149",2019-09-20,14:00:18.191239
19,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,799",2019-09-20,14:00:18.191239
20,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
21,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
22,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
23,Tommy Hilfiger Men's Plain Slim Fit T-Shirt,999,2019-09-20,14:00:18.191239
24,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,14:00:18.191239
25,TOMMY HILFIGER Men's T-Shirt,822,2019-09-20,14:00:18.191239
26,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,799",2019-09-20,14:00:18.191239
27,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,14:00:18.191239
28,TOMMY HILFIGER Men's Printed Loose fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
29,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
30,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-20,14:00:18.191239
31,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,14:00:18.191239
32,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,954",2019-09-20,14:00:18.191239
33,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-20,14:00:18.191239
34,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,199",2019-09-20,14:00:18.191239
35,TOMMY HILFIGER Men's Striped Slim fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
36,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,799",2019-09-20,14:00:18.191239
37,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,199",2019-09-20,14:00:18.191239
38,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-20,14:00:18.191239
39,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-20,14:00:18.191239
40,TOMMY HILFIGER Men's Slim fit T-Shirt,"2,555",2019-09-20,14:00:18.191239
41,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,247",2019-09-20,14:00:18.191239
42,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
43,TOMMY HILFIGER Men's Printed Regular fit T-Shirt (A8ATK195M_Black Iris/ Multi_M),"1,499",2019-09-20,14:00:18.191239
44,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,799,2019-09-20,14:00:18.191239
45,TOMMY HILFIGER Men's Solid Regular fit Polo,"1,799",2019-09-20,14:00:18.191239
46,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
47,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,14:00:18.191239
48,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,14:00:18.191239
49,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:18.191239
50,Arrow Sports Men's Polo,"1,253",2019-09-20,14:00:18.191239
51,The Blazze 0017 Men's Round Neck Half Sleeve Cotton T-Shirt for Men,399,2019-09-20,14:00:18.191239
52,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-20,14:00:18.191239
53,Arrow Sports Men's Solid Regular Fit T-Shirt,"1,017",2019-09-20,14:00:18.191239
0,Arrow Sports Men's Polo,"1,253",2019-09-20,14:00:21.960125
1,The Blazze 0017 Men's Round Neck Half Sleeve Cotton T-Shirt for Men,399,2019-09-20,14:00:21.960125
2,Arrow Sports Polo,779,2019-09-20,14:00:21.960125
3,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:21.960125
4,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,799,2019-09-20,14:00:21.960125
5,TOMMY HILFIGER Men's Solid Slim fit Polo,"3,449",2019-09-20,14:00:21.960125
6,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-20,14:00:21.960125
7,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:21.960125
8,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,14:00:21.960125
9,TOMMY HILFIGER Men's Solid Slim fit Polo,"1,799",2019-09-20,14:00:21.960125
10,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,349",2019-09-20,14:00:21.960125
11,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,099",2019-09-20,14:00:21.960125
12,TOMMY HILFIGER Men's Solid Slim fit Polo,"1,999",2019-09-20,14:00:21.960125
13,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,733",2019-09-20,14:00:21.960125
14,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:21.960125
15,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,399",2019-09-20,14:00:21.960125
16,Tommy Hilfiger Men's Solid Slim Fit Polo,"1,299",2019-09-20,14:00:21.960125
17,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,373",2019-09-20,14:00:21.960125
18,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"1,499",2019-09-20,14:00:21.960125
19,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,"1,410",2019-09-20,14:00:21.960125
20,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,14:00:21.960125
21,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,14:00:21.960125
22,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,949,2019-09-20,14:00:21.960125
23,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,"1,499",2019-09-20,14:00:21.960125
24,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,595",2019-09-20,14:00:21.960125
25,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,249",2019-09-20,14:00:21.960125
26,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,249",2019-09-20,14:00:21.960125
27,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,14:00:21.960125
28,TOMMY HILFIGER Men's Solid Slim fit Polo,"1,799",2019-09-20,14:00:21.960125
