,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,17:25:06
1,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-20,17:25:06
2,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-20,17:25:06
3,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:25:06
4,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,17:25:06
5,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-20,17:25:06
6,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:25:06
7,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:25:06
8,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,17:25:06
9,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:25:06
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:25:06
11,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:25:06
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:25:06
13,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:25:06
14,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:25:06
15,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-20,17:25:06
16,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-20,17:25:06
17,Arrow Sports Men's Polo,"1,253",2019-09-20,17:25:06
18,Zeroline Garments Casual Half Sleeves Polo Cotton T Shirt for Men,599,2019-09-20,17:25:06
19,Arrow Sports Men's Solid Regular Fit T-Shirt,879,2019-09-20,17:25:06
20,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:25:06
21,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-20,17:25:06
22,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:25:06
23,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-20,17:25:06
24,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:25:06
25,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-20,17:25:06
26,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:25:06
27,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-20,17:25:06
28,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-20,17:25:06
29,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,17:25:06
30,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:25:06
31,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,954",2019-09-20,17:25:06
32,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,558",2019-09-20,17:25:06
33,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,953",2019-09-20,17:25:06
34,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:25:06
35,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:25:06
36,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,17:25:06
37,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,999",2019-09-20,17:25:06
38,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-20,17:25:06
39,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,17:25:06
40,Tommy Hilfiger Men's Striped Slim Fit Polo,"1,399",2019-09-20,17:25:06
41,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-20,17:25:06
42,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,17:25:06
43,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:25:06
44,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:25:06
45,TOMMY HILFIGER Men's Plain Regular fit T-Shirt,"2,529",2019-09-20,17:25:06
46,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-20,17:25:06
47,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:25:06
48,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,170",2019-09-20,17:25:06
49,TOMMY HILFIGER Men's Plain Slim fit Polo,"2,849",2019-09-20,17:25:06
50,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,895,2019-09-20,17:25:06
51,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:25:06
52,Flying Machine Men's Printed Regular fit T-Shirt,779,2019-09-20,17:25:06
53,Broyz Rajput Men Round Neck White T-Shirt,199,2019-09-20,17:25:06
54,Arrow Sports Men's Printed Regular Fit T-Shirt,539,2019-09-20,17:25:06
