,Product_name,Price,Date,Time
0,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,17:16:51
1,TOMMY HILFIGER Men's Regular fit T-Shirt,799,2019-09-20,17:16:51
2,Tommy Hilfiger Men's Striped Regular Fit T-Shirt,"1,299",2019-09-20,17:16:51
3,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:16:51
4,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,17:16:51
5,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,999",2019-09-20,17:16:51
6,TOMMY HILFIGER Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:16:51
7,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:16:51
8,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,17:16:51
9,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:16:51
10,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:16:51
11,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:16:51
12,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:16:51
13,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:16:51
14,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:16:51
15,TOMMY HILFIGER Men's Solid Regular Fit T-Shirt,799,2019-09-20,17:16:51
16,Arrow Sport Men's Solid Regular Fit T-Shirt,"1,023",2019-09-20,17:16:51
17,Arrow Sports Men's Solid Regular Fit T-Shirt,"1,164",2019-09-20,17:16:51
18,Arrow Sports Men's Polo,"1,253",2019-09-20,17:16:51
19,Zeroline Garments Casual Half Sleeves Polo Cotton T Shirt for Men,599,2019-09-20,17:16:51
20,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,799,2019-09-20,17:16:51
21,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,160",2019-09-20,17:16:51
22,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:16:51
23,TOMMY HILFIGER Men's Solid Slim fit Polo,"2,024",2019-09-20,17:16:51
24,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:16:51
25,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,099",2019-09-20,17:16:51
26,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,799,2019-09-20,17:16:51
27,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,249",2019-09-20,17:16:51
28,TOMMY HILFIGER Men's Solid Regular Fit Polo,"1,399",2019-09-20,17:16:51
29,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,160",2019-09-20,17:16:51
30,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:16:51
31,TOMMY HILFIGER Men's Slim fit T-Shirt,"1,954",2019-09-20,17:16:51
32,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,558",2019-09-20,17:16:51
33,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,953",2019-09-20,17:16:51
34,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:16:51
35,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:16:51
36,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,171",2019-09-20,17:16:51
37,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"2,999",2019-09-20,17:16:51
38,TOMMY HILFIGER Men's Printed Regular fit T-Shirt,"2,024",2019-09-20,17:16:51
39,Tommy Hilfiger Men's Plain Regular Fit T-Shirt,"1,499",2019-09-20,17:16:51
40,TOMMY HILFIGER Men's Plain Slim Fit Polo,"1,299",2019-09-20,17:16:51
41,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,"1,299",2019-09-20,17:16:51
42,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:16:51
43,TOMMY HILFIGER Men's Regular fit T-Shirt,"1,450",2019-09-20,17:16:51
44,TOMMY HILFIGER Men's Plain Regular fit T-Shirt,"2,529",2019-09-20,17:16:51
45,TOMMY HILFIGER Men's Solid Regular fit Polo,"2,474",2019-09-20,17:16:51
46,Tommy Hilfiger Men's Plain Regular Fit Polo,"1,499",2019-09-20,17:16:51
47,TOMMY HILFIGER Men's Regular fit T-Shirt,"2,170",2019-09-20,17:16:51
48,TOMMY HILFIGER Men's Plain Slim fit Polo,"2,849",2019-09-20,17:16:51
49,TOMMY HILFIGER Men's Printed Regular Fit T-Shirt,895,2019-09-20,17:16:51
50,Tommy Hilfiger Men's Printed Regular Fit T-Shirt,999,2019-09-20,17:16:51
51,TOMMY HILFIGER Men's Solid Regular fit T-Shirt,"1,349",2019-09-20,17:16:51
52,Flying Machine Men's Printed Regular fit T-Shirt,779,2019-09-20,17:16:51
53,Broyz Rajput Men Round Neck White T-Shirt,199,2019-09-20,17:16:51
54,Arrow Sports Men's Printed Regular Fit T-Shirt,539,2019-09-20,17:16:51
